0,id,latitude,longitude,timestamp
51,514085,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
52,1065660,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
53,479364,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
54,966688,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
55,1002250,-23.55158611111111,-46.927927777777775,2017-10-07 07:59:13
56,93262,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
57,1049640,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
58,570426,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
59,528298,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
60,185060,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
61,93262,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
62,1075797,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
63,7454,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
64,116890,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
65,502665,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
66,55398,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
67,181027,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
68,377693,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
69,435095,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
70,121336,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
71,205317,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
72,386503,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
73,266681,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
74,1064146,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
75,1049640,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
76,1056432,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
77,330871,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
78,1073502,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
79,1051574,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
80,214939,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
81,342692,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
82,328832,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
83,764589,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
84,385271,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
85,512655,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
86,1050619,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
87,428138,-23.551577777777773,-46.92792222222222,2017-10-07 07:59:58
